Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-811.8288	1858.2623	-99.15677	-8858.988	89.25	0.3085365	1.3711138	7.4541264	-5.121455	4000	8.940697e-08	499564.84	-0.02734701	-9957.289	7.310605	0.015935756	0.20325	5.0	2.8453681468963623
1	-620.9794	1315.7184	-91.067154	-8697.569	67.875	-7.285378	3.3185375	-0.48585558	-20.122055	8000	1.1920929e-07	346278.97	-0.03718149	-9831.426	7.400373	0.015764073	0.187	14.0	5.128022193908691
2	-464.7655	720.8952	-71.190445	-3803.1414	54.36	-16.885996	7.0090175	-1.9356233	-43.432407	12000	8.940697e-08	420152.38	-0.021329535	-19966.945	7.411406	0.018209023	0.20699999	7.0	7.411777496337891
3	-464.48904	316.73093	-121.47102	-1737.9426	51.358974	-34.926636	13.375841	-5.8835173	-85.80275	16000	1.4901161e-08	290066.25	-0.02259168	-19713.9	7.355279	0.016222542	0.178	9.0	9.665434837341309
4	-1081.5298	2327.2974	-98.76865	-7648.7666	140.44444	-55.387867	20.975319	-11.248079	-152.54158	20000	-8.195639e-08	421470.0	-0.03415376	-43742.17	7.2671647	0.015993409	0.2265	15.0	12.024551630020142
5	-411.16235	381.0984	-111.49358	-1566.0234	48.9	-91.57753	33.46124	-16.658346	-220.96468	24000	9.685755e-08	315055.4	-0.024924833	-36725.953	7.286437	0.0167306	0.20475	9.0	14.30142617225647
6	-1507.1661	2745.0903	-113.076324	-7811.6416	193.0	-129.53859	45.941803	-26.65778	-337.08356	28000	-7.8231096e-08	316565.6	-0.065001264	-44607.004	7.273731	0.015332575	0.30825	50.0	17.008883237838745
7	-1164.7329	2291.8486	-88.07702	-7615.269	151.66667	-176.12444	60.65422	-36.522747	-409.61267	32000	-1.0803342e-07	283389.12	-0.060355954	-47206.457	7.2216005	0.015287042	0.29275	43.0	19.601075172424316
8	-1180.5503	2498.693	-68.34462	-7784.2812	150.625	-225.09064	74.233376	-43.002705	-534.3755	36000	5.9604645e-08	229200.53	-0.06362264	-41583.56	7.137142	0.015542952	0.28675	46.0	22.146084547042847
9	-1561.4229	2499.549	-125.625275	-7130.8916	216.66667	-276.2045	89.50535	-58.450382	-614.4454	40000	-2.6077032e-08	177234.64	-0.059269965	-32783.27	7.1402874	0.015208715	0.29075003	41.0	25.02000594139099
