Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-618.12036	1462.5962	-79.66715	-10595.364	44.666668	-0.7232725	1.0967826	2.9375377	-4.772485	4000	5.9604645e-08	994440.5	-0.036214978	-13580.32	7.306056	0.016711352	0.18775	10.0	2.8985884189605713
1	-550.3036	828.43567	-103.58419	-5402.1997	39.9	-8.508471	3.463479	-1.050992	-22.307604	8000	-5.1339157e-08	961159.2	-0.052297086	-23892.203	7.3574734	0.015526405	0.26	27.0	5.385167121887207
2	-411.66687	317.39072	-115.34904	-1452.7865	31.581396	-22.524525	8.844179	-3.2112548	-56.041904	12000	1.4901161e-08	997737.44	-0.025304053	-40284.406	7.255249	0.01710369	0.20625	8.0	7.6399595737457275
3	-562.2514	794.41895	-120.55212	-4348.0186	42.555557	-45.79479	18.197783	-7.4580364	-125.93928	16000	-3.1292439e-07	980592.25	-0.019126996	-62394.547	7.3793178	0.017122542	0.21775	7.0	9.895110130310059
4	-349.75354	332.07187	-106.95551	-1985.9658	29.962265	-77.8487	32.44805	-13.308004	-219.7853	20000	1.3411045e-07	643592.3	-0.040740058	-43428.695	7.2718654	0.015885165	0.20325	18.0	12.282633066177368
5	-1071.9923	2971.3193	-96.05415	-12179.797	86.2	-114.50334	47.98637	-21.434034	-315.05234	24000	1.6018748e-07	999169.0	-0.042348213	-102753.625	7.2692227	0.016083807	0.23474999	21.0	14.68999195098877
6	-444.7769	558.2651	-100.84257	-3370.4265	35.62857	-171.828	72.19507	-28.124048	-487.66306	28000	-1.1920929e-07	722485.5	-0.046296414	-75901.26	7.299137	0.016174465	0.20825	23.0	17.128242254257202
7	-417.66058	371.1538	-66.48084	-2178.5715	32.34694	-225.59709	95.46877	-36.911503	-606.97656	32000	2.9802322e-08	531735.6	-0.0597288	-47383.79	7.211488	0.015568746	0.2745	41.0	19.618354558944702
8	-386.8082	347.3349	-105.04689	-2063.4622	31.3625	-275.74713	115.364006	-46.131306	-769.6439	36000	2.4214387e-08	253484.4	-0.051281307	-11923.754	7.1563153	0.016254237	0.22174999	28.0	21.785415649414062
9	-405.8586	502.9029	-78.450226	-3417.529	32.744682	-290.99982	119.27198	-50.872227	-829.4253	40000	5.2154064e-08	442900.25	-0.05164565	-41155.21	7.1910224	0.01626172	0.26674998	26.0	24.6527316570282
