Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-264.41016	701.46454	-37.68842	-5150.198	51.35294	0.019755552	0.7461264	2.350794	-2.191284	4000	-8.940697e-08	136944.5	-0.04873783	-1986.4062	7.306056	0.01548158	0.20775	22.0	3.2771239280700684
1	-246.2587	660.7113	-41.805134	-5074.093	49.112675	-3.033733	1.3146989	2.7892406	-6.756952	8000	5.9604645e-08	104647.04	-0.055006474	-3169.7983	7.3357754	0.015589454	0.2315	30.0	5.792948007583618
2	-178.9399	117.71113	-35.70434	-588.0737	36.373333	-9.2960615	1.3696297	-2.273736	-11.8031225	12000	2.0861626e-07	64144.066	-0.027878918	-1719.5593	7.2224145	0.015892042	0.22275001	12.0	8.11791205406189
3	-190.6027	276.56628	-30.56342	-2102.1304	38.763157	-13.613649	1.2796695	-5.105578	-15.394543	16000	1.3411045e-07	75629.13	-0.049691286	-1750.3245	7.336727	0.015640493	0.20750001	29.0	10.59368085861206
4	-161.98259	112.41317	-28.63923	-490.1028	32.033333	-17.550692	1.186725	-9.294082	-18.872538	20000	4.4703484e-08	95994.836	-0.058721058	-2085.0093	7.2302303	0.01571581	0.248	36.0	13.254134893417358
5	-218.19498	618.9339	-39.666397	-4735.8857	45.4	-21.622044	0.90509844	-15.971914	-22.539663	24000	-7.4505806e-08	103247.914	-0.050219677	-2003.6533	7.199404	0.015461439	0.214	25.0	15.658387422561646
6	-154.24677	131.28163	-35.396133	-602.5906	31.516129	-25.412615	0.8606495	-19.706123	-26.120792	28000	-9.126961e-08	88193.14	-0.051283427	-1533.1758	7.224163	0.015888846	0.22075	28.0	18.04682183265686
7	-158.41571	104.85705	-29.931055	-595.2638	33.366196	-28.652643	0.83678937	-22.753443	-29.225594	32000	-2.2351742e-08	72125.734	-0.037964158	-1081.0596	7.146692	0.015288569	0.24825001	15.0	20.31037974357605
8	-163.51797	197.60323	-24.483368	-1924.7458	33.23	-31.35822	0.8418872	-24.733656	-31.84226	36000	2.9802322e-08	40673.816	-0.05707869	-520.4994	7.111843	0.015598264	0.25625	38.0	22.42567467689514
9	-134.84456	92.57939	-29.768118	-483.45856	29.673077	-33.281017	0.7995732	-24.63597	-33.714653	40000	8.940697e-08	37386.836	-0.057460986	-436.53027	7.1378613	0.015450395	0.2635	35.0	25.23697566986084
