Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-499.45154	856.80975	-74.998535	-3314.3577	149.58333	-0.060792014	0.49185267	1.8360033	-3.2237458	4000	-1.0803342e-07	68454.875	-0.037477292	-26573.7	7.2884455	0.017952263	0.1695	4.0	3.769256353378296
1	-492.6866	754.36316	-41.651783	-2942.265	149.33333	-63.204594	20.634157	-10.235988	-157.49026	8000	-4.0978193e-08	40402.062	-0.0875625	-29389.41	7.3134713	0.015581787	0.36775	37.0	6.943981647491455
2	-271.93842	194.08382	-65.9098	-782.61	78.166664	-225.38194	57.446404	-36.743816	-477.57782	12000	0.0	12659.8125	-0.10065375	-2605.9568	7.3452244	0.015458675	0.422	60.0	10.457036972045898
3	-700.2624	974.0785	-32.58769	-2821.8198	240.83333	-237.295	48.629887	-26.14112	-396.69208	16000	-1.8626451e-09	6561.083	-0.107372634	-1621.7949	7.225437	0.015407389	0.4795	69.0	13.96860671043396
4	-1157.0173	1207.9241	-173.20195	-3058.401	376.85715	-254.29837	44.25873	-28.010061	-426.4393	20000	-7.450581e-09	7273.925	-0.094429135	-959.6007	7.223751	0.015561851	0.40825	49.0	17.458467483520508
5	-854.1726	1143.0096	-65.703094	-3030.1123	274.33334	-258.78165	41.406605	-27.255747	-401.64426	24000	9.313226e-09	6247.975	-0.09782438	-783.74805	7.143582	0.015574175	0.446	58.0	21.20690393447876
6	-212.21362	178.06694	-28.972567	-670.14307	59.923077	-256.072	41.67622	-22.245502	-411.09567	28000	-5.5879354e-09	5492.4414	-0.09288958	-970.32355	7.149417	0.015599564	0.40725	46.0	24.553940773010254
7	-802.52454	1086.9335	-48.98538	-2940.3223	267.4	-246.79276	41.048546	-10.599198	-380.54047	32000	-9.313226e-09	4373.615	-0.09821297	-889.22064	7.113768	0.0153421145	0.437	49.0	27.84378719329834
8	-810.8675	1022.68365	-207.04742	-2850.6968	295.0	-254.30966	41.715622	-22.58979	-395.02097	36000	-1.8626451e-09	4263.8193	-0.07416679	-492.61914	7.0765567	0.015647285	0.33999997	23.0	30.429586172103882
9	-567.9826	770.04663	-68.81538	-2690.6309	195.5	-247.29482	37.599655	-23.523514	-357.19196	40000	3.7252903e-09	4618.3535	-0.06772692	-871.8535	7.000992	0.015978366	0.3365	21.0	33.52890348434448
