Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-83.47934	70.68769	-8.885231	-395.87473	35.957447	0.03559224	0.55834293	1.7772951	-1.7573541	4000	-4.4703484e-08	29462.596	-0.02710116	-4130.2827	7.2884455	0.0152386455	0.24375	3.0	3.793752431869507
1	-77.576775	66.91176	-10.90441	-301.16525	36.909092	-15.003445	0.57392615	-8.195342	-15.521267	8000	-2.9802322e-08	25026.133	-0.058848374	-1828.9836	7.3213253	0.01661178	0.21125	18.0	6.708369493484497
2	-90.85057	60.583427	-21.04481	-268.78638	42.47945	-22.19911	0.21003544	-19.61399	-22.275537	12000	-4.4703484e-08	9195.271	-0.056308556	-444.66574	7.3603306	0.015507037	0.22025	17.0	9.662143468856812
3	-246.92809	526.7227	-34.621246	-2129.121	119.07143	-25.808344	0.10282013	-24.52854	-25.866404	16000	-8.009374e-08	26107.873	-0.019638253	-1953.0723	7.2715387	0.020882778	0.2435	5.0	12.474910736083984
4	-85.99217	82.85244	-12.181392	-437.5016	44.526318	-32.6237	0.11401234	-30.978376	-32.658344	20000	5.9604645e-08	10220.876	-0.017991211	-489.73468	7.317955	0.017949447	0.23900001	5.0	15.2094407081604
5	-76.78872	58.923878	-7.0008416	-330.44647	39.682926	-36.325077	0.07942009	-34.976254	-36.346664	24000	-5.9604645e-08	14646.214	-0.020699084	-816.5995	7.248089	0.017929532	0.22850001	6.0	17.986827850341797
6	-73.30561	43.06462	-18.423756	-177.1852	41.125	-40.874477	0.056222957	-39.9176	-40.891083	28000	5.9604645e-08	14744.289	-0.053496722	-1017.6035	7.2857103	0.01566278	0.177	18.0	20.866791009902954
7	-62.00001	31.5554	-19.88771	-124.97559	31.90909	-46.02682	0.03984122	-45.098648	-46.038258	32000	-9.685755e-08	17065.734	-0.023935061	-1401.8828	7.2679296	0.017889962	0.29075	7.0	23.73746085166931
8	-92.639946	57.50004	-25.198921	-210.4543	54.285713	-51.9939	0.04790502	-51.24717	-52.004578	36000	-5.2154064e-08	9379.386	-0.023259638	-536.77246	7.26352	0.01694163	0.24274999	7.0	26.06509518623352
9	-252.55876	485.11096	-20.577612	-1905.9357	139.76923	-55.87157	0.03542678	-54.871555	-55.880005	40000	0.0	11470.905	-0.024547428	-838.05164	7.2164273	0.0172705	0.25975	7.0	28.949483394622803
